"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.142,0.028,1009,-5.029,0
"redData$age_y",0.026,0.006,1009,4.266,0
"redData$feed_group2",-0.01,0.012,1009,-0.867,0.386
"redData$feed_groupNULL",-0.015,0.015,1009,-0.969,0.333
"redData$genetic_groupS",-0.013,0.011,1009,-1.113,0.266
"as.factor(redData$sample_year)2011",0.04,0.023,1009,1.744,0.082
"as.factor(redData$sample_year)2012",0.061,0.022,1009,2.735,0.006
"as.factor(redData$sample_year)2013",0.081,0.024,1009,3.438,0.001
"as.factor(redData$sample_year)2014",0.05,0.027,1009,1.834,0.067
"as.numeric(paste(redData$sample_interval))",0,0,1009,0.198,0.843
