"","recoded_id","dob","herd_life","cull_date","amp_305_lactation","av_rltl_1_res","residual_rltl_t","diff_rltl_res","amp_305_lactation.1","average_resid","rltl_change","abs_rltl_change","SamplesPerAnimal"
"1",25,"14/07/2009","2214","06/08/2015","7301.2",NA,-0.188408226,"0.053788251","7301.2",-0.164407747666667,0.013518967,0.106199657666667,3
"2",25,"14/07/2009","2214","06/08/2015","7301.2",NA,-0.06261854,"0.125789686","7301.2",-0.164407747666667,0.013518967,0.106199657666667,3
"3",25,"14/07/2009","2214","06/08/2015","7301.2",NA,-0.242196477,"-0.139021036","7301.2",-0.164407747666667,0.013518967,0.106199657666667,3
"4",104,"22/11/2008","2063","17/07/2014","12266.8",0.185953535,0.490721768,"0.337863353","12266.8",0.229543586,0.0122496334,0.1556460698,5
"5",104,"22/11/2008","2063","17/07/2014","12266.8",0.185953535,0.132153693,"-0.053799842","12266.8",0.229543586,0.0122496334,0.1556460698,5
"6",104,"22/11/2008","2063","17/07/2014","12266.8",0.185953535,0.185953535,"0.061171183","12266.8",0.229543586,0.0122496334,0.1556460698,5
"7",104,"22/11/2008","2063","17/07/2014","12266.8",0.185953535,0.186030519,"-0.304691249","12266.8",0.229543586,0.0122496334,0.1556460698,5
"8",104,"22/11/2008","2063","17/07/2014","12266.8",0.185953535,0.152858415,"0.020704722","12266.8",0.229543586,0.0122496334,0.1556460698,5
"9",124,"16/02/2009","1977","17/07/2014","5846.916667",-0.066053396,0.116043049,"-0.099787056","5846.916667",0.0908345015,-0.01293980875,0.15388155925,4
"10",124,"16/02/2009","1977","17/07/2014","5846.916667",-0.066053396,0.215830105,"0.118311857","5846.916667",0.0908345015,-0.01293980875,0.15388155925,4
"11",124,"16/02/2009","1977","17/07/2014","5846.916667",-0.066053396,0.097518248,"0.163571644","5846.916667",0.0908345015,-0.01293980875,0.15388155925,4
"12",124,"16/02/2009","1977","17/07/2014","5846.916667",-0.066053396,-0.066053396,"-0.23385568","5846.916667",0.0908345015,-0.01293980875,0.15388155925,4
"13",141,"16/02/2010","1612","17/07/2014","9168.466667",-0.12641467,-0.172933968,"0.173291873","9168.466667",-0.228816981,0.028116191,0.1380217765,4
"14",141,"16/02/2010","1612","17/07/2014","9168.466667",-0.12641467,-0.269693445,"-0.143278775","9168.466667",-0.228816981,0.028116191,0.1380217765,4
"15",141,"16/02/2010","1612","17/07/2014","9168.466667",-0.12641467,-0.346225841,"-0.076532396","9168.466667",-0.228816981,0.028116191,0.1380217765,4
"16",141,"16/02/2010","1612","17/07/2014","9168.466667",-0.12641467,-0.12641467,"0.158984062","9168.466667",-0.228816981,0.028116191,0.1380217765,4
"17",202,"03/07/2011","1903","17/09/2016","9107.533333",-0.095547781,-0.265499981,"-0.172755392","9107.533333",-0.151264117,-0.0852585213333333,0.0871273166666667,3
"18",202,"03/07/2011","1903","17/09/2016","9107.533333",-0.095547781,-0.095547781,"-0.085823365","9107.533333",-0.151264117,-0.0852585213333333,0.0871273166666667,3
"19",202,"03/07/2011","1903","17/09/2016","9107.533333",-0.095547781,-0.092744589,"0.002803193","9107.533333",-0.151264117,-0.0852585213333333,0.0871273166666667,3
"20",209,"04/08/2011","349","18/07/2012","NULL",-0.142318821,-0.142318821,"-0.508612457","NULL",-0.142318821,-0.508612457,0.508612457,NA
"21",242,"31/03/2010","803","11/06/2012","NULL",-0.101111298,-0.101111298,"-0.283566226","NULL",0.0760025475,0.0353307325,0.3188969585,2
"22",242,"31/03/2010","803","11/06/2012","NULL",-0.101111298,0.253116393,"0.354227691","NULL",0.0760025475,0.0353307325,0.3188969585,2
"23",270,"05/04/2010","833","16/07/2012","4861.1",-0.042712018,0.011528254,"0.054240272","4861.1",-0.015591882,0.0201759645,0.0340643075,2
"24",270,"05/04/2010","833","16/07/2012","4861.1",-0.042712018,-0.042712018,"-0.013888343","4861.1",-0.015591882,0.0201759645,0.0340643075,2
"25",289,"28/05/2009","742","09/06/2011","12.2",-0.119880414,-0.119880414,"-0.640397154","12.2",-0.119880414,-0.640397154,0.640397154,NA
"26",309,"12/02/2009","2457","05/11/2015","9631.6125",-0.064621613,-0.019726351,"-0.067085401","9631.6125",-0.036613447,-0.0429690618,0.1006725826,5
"27",309,"12/02/2009","2457","05/11/2015","9631.6125",-0.064621613,-0.08917823,"-0.032278139","9631.6125",-0.036613447,-0.0429690618,0.1006725826,5
"28",309,"12/02/2009","2457","05/11/2015","9631.6125",-0.064621613,-0.064621613,"-0.259740571","9631.6125",-0.036613447,-0.0429690618,0.1006725826,5
"29",309,"12/02/2009","2457","05/11/2015","9631.6125",-0.064621613,-0.056900091,"0.007721522","9631.6125",-0.036613447,-0.0429690618,0.1006725826,5
"30",309,"12/02/2009","2457","05/11/2015","9631.6125",-0.064621613,0.04735905,"0.13653728","9631.6125",-0.036613447,-0.0429690618,0.1006725826,5
"31",318,"12/10/2010","NULL","NULL","5916.425",-0.316731509,-0.119453646,"-0.046719081","5916.425",-0.169639906666667,-0.0508901383333333,0.213554767666667,3
"32",318,"12/10/2010","NULL","NULL","5916.425",-0.316731509,-0.316731509,"-0.349948278","5916.425",-0.169639906666667,-0.0508901383333333,0.213554767666667,3
"33",318,"12/10/2010","NULL","NULL","5916.425",-0.316731509,-0.072734565,"0.243996944","5916.425",-0.169639906666667,-0.0508901383333333,0.213554767666667,3
"34",354,"22/07/2010","NULL","NULL","6130.875",0.179732491,-0.10466271,"0.065883058","6130.875",-0.030561703,-0.011410082,0.1637290475,4
"35",354,"22/07/2010","NULL","NULL","6130.875",0.179732491,-0.026770825,"0.077891885","6130.875",-0.030561703,-0.011410082,0.1637290475,4
"36",354,"22/07/2010","NULL","NULL","6130.875",0.179732491,0.179732491,"0.160862988","6130.875",-0.030561703,-0.011410082,0.1637290475,4
"37",354,"22/07/2010","NULL","NULL","6130.875",0.179732491,-0.170545768,"-0.350278259","6130.875",-0.030561703,-0.011410082,0.1637290475,4
"38",370,"27/06/2009","NULL","NULL","5553.316667",-0.056640393,-0.056640393,"-0.096747005","5553.316667",0.0637138925,0.06816729575,0.12172703925,4
"39",370,"27/06/2009","NULL","NULL","5553.316667",-0.056640393,0.065733043,"0.132745918","5553.316667",0.0637138925,0.06816729575,0.12172703925,4
"40",370,"27/06/2009","NULL","NULL","5553.316667",-0.056640393,-0.067012875,"-0.010372482","5553.316667",0.0637138925,0.06816729575,0.12172703925,4
"41",370,"27/06/2009","NULL","NULL","5553.316667",-0.056640393,0.312775795,"0.247042752","5553.316667",0.0637138925,0.06816729575,0.12172703925,4
"42",372,"30/04/2011","NULL","NULL","6218.475",-0.024475262,-0.116160948,"-0.091685686","6218.475",-0.122277353,-0.0827375623333333,0.0827375623333333,3
"43",372,"30/04/2011","NULL","NULL","6218.475",-0.024475262,-0.024475262,"-0.0464921","6218.475",-0.122277353,-0.0827375623333333,0.0827375623333333,3
"44",372,"30/04/2011","NULL","NULL","6218.475",-0.024475262,-0.226195849,"-0.110034901","6218.475",-0.122277353,-0.0827375623333333,0.0827375623333333,3
"45",382,"12/07/2010","NULL","NULL","5422.925",0.051139462,0.051139462,"0.041486823","5422.925",0.08755338425,0.04707794425,0.18927104775,4
